,Table Number,vendor,confirmed_neighbors,neighbor_success_rate,distance_penalty,best_fitness,VEND_NUMB,N_ONE,ONE_IS_CARER,ONE_SHARE_CARD_READER,N_TWO,TWO_IS_CARER,TWO_SHARE_CARD_READER,N_THREE,THREE_IS_CARER,THREE_SHARE_CARD_READER,DISTANCE_ONE,DISTANCE_TWO,DISTANCE_THREE,neighbour_one_confirmed,neighbour_two_confirmed,neighbour_three_confirmed,DISTANCE_ONE_TABLE_LOCATION,TABLE_DISTANCE_DIFFERENCE_ONE,DISTANCE_TWO_TABLE_LOCATION,TABLE_DISTANCE_DIFFERENCE_TWO,DISTANCE_THREE_TABLE_LOCATION,TABLE_DISTANCE_DIFFERENCE_THREE
86,87,Vendor29,"[0, 0, 0]",,,80.08618851834932,Vendor29,,,,,,,,,,,,,0,0,0,,0,,0,,0
87,88,Vendor183,"[0, 0, 0]",,,80.08618851834932,Vendor183,,,,,,,,,,,,,0,0,0,,0,,0,,0
88,89,Vendor12,"[0, 0, 0]",100.0,0.0,80.08618851834932,Vendor12,Vendor11,Y,Y,Vendor13,Y,Y,Vendor14,Y,Y,,,,0,0,0,,0,,0,,0
89,90,Vendor177,"[0, 0, 0]",,,80.08618851834932,Vendor177,,,,,,,,,,,,,0,0,0,,0,,0,,0
90,91,Vendor4,"[0, 1, 0]",39.99999999999999,0.0,80.08618851834932,Vendor4,Vendor3,N,N,Vendor5,Y,Y,Vendor1,N,N,,,,0,1,0,,0,,0,,0
91,92,Vendor5,"[0, 0, 0]",100.0,0.0,80.08618851834932,Vendor5,Vendor6,N,N,Vendor2,Y,Y,Vendor4,N,N,,,,0,0,0,,0,,0,,0
92,93,Vendor119,"[0, 0, 0]",,,80.08618851834932,Vendor119,,,,,,,,,,,,,0,0,0,,0,,0,,0
93,94,Vendor72,"[0, 0, 0]",,,80.08618851834932,Vendor72,,,,,,,,,,,,,0,0,0,,0,,0,,0
94,95,Vendor171,"[0, 0, 0]",,,80.08618851834932,Vendor171,,,,,,,,,,,,,0,0,0,,0,,0,,0
95,96,Vendor51,"[0, 0, 0]",,,80.08618851834932,Vendor51,,,,,,,,,,,,,0,0,0,,0,,0,,0
96,97,Vendor90,"[0, 0, 0]",,,80.08618851834932,Vendor90,,,,,,,,,,,,,0,0,0,,0,,0,,0
97,98,Vendor16,"[0, 0, 0]",,,80.08618851834932,Vendor16,,,,,,,,,,,,,0,0,0,,0,,0,,0
98,99,Vendor198,"[0, 0, 0]",,,80.08618851834932,Vendor198,,,,,,,,,,,,,0,0,0,,0,,0,,0
99,100,Vendor44,"[0, 0, 0]",,,80.08618851834932,Vendor44,,,,,,,,,,,,,0,0,0,,0,,0,,0
100,101,Vendor19,"[0, 0, 0]",,,80.08618851834932,Vendor19,,,,,,,,,,,,,0,0,0,,0,,0,,0
101,102,Vendor174,"[0, 0, 0]",,,80.08618851834932,Vendor174,,,,,,,,,,,,,0,0,0,,0,,0,,0
102,103,Vendor114,"[0, 0, 0]",,,80.08618851834932,Vendor114,,,,,,,,,,,,,0,0,0,,0,,0,,0
103,104,Vendor127,"[0, 0, 0]",,,80.08618851834932,Vendor127,,,,,,,,,,,,,0,0,0,,0,,0,,0
104,105,Vendor42,"[0, 0, 0]",,,80.08618851834932,Vendor42,,,,,,,,,,,,,0,0,0,,0,,0,,0
105,106,Vendor121,"[0, 0, 0]",,,80.08618851834932,Vendor121,,,,,,,,,,,,,0,0,0,,0,,0,,0
106,107,Vendor166,"[0, 0, 0]",,,80.08618851834932,Vendor166,,,,,,,,,,,,,0,0,0,,0,,0,,0
107,108,Vendor169,"[0, 0, 0]",,,80.08618851834932,Vendor169,,,,,,,,,,,,,0,0,0,,0,,0,,0
108,109,Vendor81,"[0, 0, 0]",,,80.08618851834932,Vendor81,,,,,,,,,,,,,0,0,0,,0,,0,,0
109,110,Vendor83,"[0, 0, 0]",,,80.08618851834932,Vendor83,,,,,,,,,,,,,0,0,0,,0,,0,,0
110,111,Vendor52,"[0, 0, 0]",,,80.08618851834932,Vendor52,,,,,,,,,,,,,0,0,0,,0,,0,,0
111,112,Vendor176,"[0, 0, 0]",,,80.08618851834932,Vendor176,,,,,,,,,,,,,0,0,0,,0,,0,,0
112,113,Vendor163,"[0, 0, 0]",,,80.08618851834932,Vendor163,,,,,,,,,,,,,0,0,0,,0,,0,,0
113,114,Vendor95,"[0, 0, 0]",,,80.08618851834932,Vendor95,,,,,,,,,,,,,0,0,0,,0,,0,,0
114,115,Vendor62,"[0, 0, 0]",,,80.08618851834932,Vendor62,,,,,,,,,,,,,0,0,0,,0,,0,,0
115,116,Vendor69,"[0, 0, 0]",,,80.08618851834932,Vendor69,,,,,,,,,,,,,0,0,0,,0,,0,,0
116,117,Vendor149,"[0, 0, 0]",,,80.08618851834932,Vendor149,,,,,,,,,,,,,0,0,0,,0,,0,,0
117,118,Vendor130,"[0, 0, 0]",,,80.08618851834932,Vendor130,,,,,,,,,,,,,0,0,0,,0,,0,,0
118,119,Vendor28,"[0, 0, 0]",,,80.08618851834932,Vendor28,,,,,,,,,,,,,0,0,0,,0,,0,,0
119,120,Vendor30,"[0, 0, 0]",,,80.08618851834932,Vendor30,,,,,,,,,,,,,0,0,0,,0,,0,,0
120,121,Vendor34,"[0, 0, 0]",,,80.08618851834932,Vendor34,,,,,,,,,,,,,0,0,0,,0,,0,,0
121,122,Vendor182,"[0, 0, 0]",,,80.08618851834932,Vendor182,,,,,,,,,,,,,0,0,0,,0,,0,,0
122,123,Vendor60,"[0, 0, 0]",,,80.08618851834932,Vendor60,,,,,,,,,,,,,0,0,0,,0,,0,,0
123,124,Vendor178,"[0, 0, 0]",,,80.08618851834932,Vendor178,,,,,,,,,,,,,0,0,0,,0,,0,,0
124,125,Vendor200,"[0, 0, 0]",,,80.08618851834932,Vendor200,,,,,,,,,,,,,0,0,0,,0,,0,,0
125,126,Vendor85,"[0, 0, 0]",,,80.08618851834932,Vendor85,,,,,,,,,,,,,0,0,0,,0,,0,,0
126,127,Vendor139,"[0, 0, 0]",,,80.08618851834932,Vendor139,,,,,,,,,,,,,0,0,0,,0,,0,,0
127,128,Vendor64,"[0, 0, 0]",,,80.08618851834932,Vendor64,,,,,,,,,,,,,0,0,0,,0,,0,,0
128,129,Vendor35,"[0, 0, 0]",,,80.08618851834932,Vendor35,,,,,,,,,,,,,0,0,0,,0,,0,,0
129,130,Vendor164,"[0, 0, 0]",,,80.08618851834932,Vendor164,,,,,,,,,,,,,0,0,0,,0,,0,,0
130,131,Vendor136,"[0, 0, 0]",,,80.08618851834932,Vendor136,,,,,,,,,,,,,0,0,0,,0,,0,,0
131,132,Vendor65,"[0, 0, 0]",,,80.08618851834932,Vendor65,,,,,,,,,,,,,0,0,0,,0,,0,,0
132,133,Vendor63,"[0, 0, 0]",,,80.08618851834932,Vendor63,,,,,,,,,,,,,0,0,0,,0,,0,,0
133,134,Vendor18,"[0, 0, 0]",,,80.08618851834932,Vendor18,,,,,,,,,,,,,0,0,0,,0,,0,,0
134,135,Vendor122,"[0, 0, 0]",,,80.08618851834932,Vendor122,,,,,,,,,,,,,0,0,0,,0,,0,,0
135,136,Vendor41,"[0, 0, 0]",,,80.08618851834932,Vendor41,,,,,,,,,,,,,0,0,0,,0,,0,,0
136,137,Vendor117,"[0, 0, 0]",,,80.08618851834932,Vendor117,,,,,,,,,,,,,0,0,0,,0,,0,,0
137,138,Vendor36,"[0, 0, 0]",,,80.08618851834932,Vendor36,,,,,,,,,,,,,0,0,0,,0,,0,,0
138,139,Vendor104,"[0, 0, 0]",,,80.08618851834932,Vendor104,,,,,,,,,,,,,0,0,0,,0,,0,,0
139,140,Vendor23,"[0, 0, 0]",,,80.08618851834932,Vendor23,,,,,,,,,,,,,0,0,0,,0,,0,,0
140,141,Vendor187,"[0, 0, 0]",,,80.08618851834932,Vendor187,,,,,,,,,,,,,0,0,0,,0,,0,,0
141,142,Vendor48,"[0, 0, 0]",,,80.08618851834932,Vendor48,,,,,,,,,,,,,0,0,0,,0,,0,,0
142,143,Vendor110,"[0, 0, 0]",,,80.08618851834932,Vendor110,,,,,,,,,,,,,0,0,0,,0,,0,,0
143,144,Vendor151,"[0, 0, 0]",,,80.08618851834932,Vendor151,,,,,,,,,,,,,0,0,0,,0,,0,,0
144,145,Vendor142,"[0, 0, 0]",,,80.08618851834932,Vendor142,,,,,,,,,,,,,0,0,0,,0,,0,,0
145,146,Vendor43,"[0, 0, 0]",,,80.08618851834932,Vendor43,,,,,,,,,,,,,0,0,0,,0,,0,,0
146,147,Vendor86,"[0, 0, 0]",,,80.08618851834932,Vendor86,,,,,,,,,,,,,0,0,0,,0,,0,,0
147,148,Vendor129,"[0, 0, 0]",,,80.08618851834932,Vendor129,,,,,,,,,,,,,0,0,0,,0,,0,,0
148,149,Vendor73,"[0, 0, 0]",,,80.08618851834932,Vendor73,,,,,,,,,,,,,0,0,0,,0,,0,,0
149,150,Vendor17,"[0, 0, 0]",,,80.08618851834932,Vendor17,,,,,,,,,,,,,0,0,0,,0,,0,,0
150,151,Vendor185,"[0, 0, 0]",,,80.08618851834932,Vendor185,,,,,,,,,,,,,0,0,0,,0,,0,,0
151,152,Vendor102,"[0, 0, 0]",,,80.08618851834932,Vendor102,,,,,,,,,,,,,0,0,0,,0,,0,,0
152,153,Vendor157,"[0, 0, 0]",,,80.08618851834932,Vendor157,,,,,,,,,,,,,0,0,0,,0,,0,,0
153,154,Vendor193,"[0, 0, 0]",,,80.08618851834932,Vendor193,,,,,,,,,,,,,0,0,0,,0,,0,,0
154,155,Vendor59,"[0, 0, 0]",,,80.08618851834932,Vendor59,,,,,,,,,,,,,0,0,0,,0,,0,,0
155,156,Vendor74,"[0, 0, 0]",,,80.08618851834932,Vendor74,,,,,,,,,,,,,0,0,0,,0,,0,,0
156,157,Vendor143,"[0, 0, 0]",,,80.08618851834932,Vendor143,,,,,,,,,,,,,0,0,0,,0,,0,,0
157,158,Vendor46,"[0, 0, 0]",,,80.08618851834932,Vendor46,,,,,,,,,,,,,0,0,0,,0,,0,,0
158,159,Vendor138,"[0, 0, 0]",,,80.08618851834932,Vendor138,,,,,,,,,,,,,0,0,0,,0,,0,,0
159,160,Vendor91,"[0, 0, 0]",,,80.08618851834932,Vendor91,,,,,,,,,,,,,0,0,0,,0,,0,,0
160,161,Vendor56,"[0, 0, 0]",,,80.08618851834932,Vendor56,,,,,,,,,,,,,0,0,0,,0,,0,,0
161,162,Vendor135,"[0, 0, 0]",,,80.08618851834932,Vendor135,,,,,,,,,,,,,0,0,0,,0,,0,,0
162,163,Vendor67,"[0, 0, 0]",,,80.08618851834932,Vendor67,,,,,,,,,,,,,0,0,0,,0,,0,,0
163,164,Vendor109,"[0, 0, 0]",,,80.08618851834932,Vendor109,,,,,,,,,,,,,0,0,0,,0,,0,,0
